,id,cod_reunion,online_users,legislative_body_initials,youtube_status,max_online_users,created,modified,is_visible,reunion_type,title_reunion,reunion_object,reunion_theme,date,legislative_body,location,questions_count,answered_questions_count,messages_count,votes_count,participants_count,videos,youtube_id
10,1306,57543,0,CMULHER,2,6,2019-10-04T18:32:02.470822-03:00,2022-12-18T01:04:23.365396-03:00,True,Audiência Pública,Audiência Pública Conjunta das Comissões CE e CMULHER,"CONVIDADAS:

Amini Haddad Campos, Professora Adjunta da Universidade Federal de Mato Grosso e Juíza de Direito (confirmada)

Rosana Leite Antunes de Barros, Coordenadora do Núcleo de Defesa da Mulher da Defensoria Pública em Mato Grosso (confirmada)

Andrea Costa, Advogada especialista em causas de violência doméstica em Brasília (confirmada)

Berenice D’Arc Jacinto, 
Secretária de Relações de Gênero da Confederação Nacional dos Trabalhadores em Educação (a confirmar)


REQUERIMENTOS: 

REQ nº 42/2019-CMulher e REQ 217/2019-CE, de autoria do Deputado Emanuel Pinheiro Neto e das Deputadas Professora Rosa Neide, Gleisi Hoffmann e Benedita da Silva
REQ nº 55/2019-CMulher, de autoria do Deputado Emanuel Pinheiro Neto",Aperfeiçoamento de instrumentos de proteção dos direitos da mulher,2019-10-08T10:26:04-03:00,Comissão de Defesa dos Direitos da Mulher,"Anexo II, Plenário 12",0,0,2,0,1,"[{'id': 941, 'video_id': 'x2KgYyK5nhM', 'title': None, 'is_attachment': False, 'order': 0}]",x2KgYyK5nhM
11,511,49689,0,CFFC,2,9,2017-10-11T09:26:02.850095-03:00,2022-12-18T01:22:40.114436-03:00,True,Audiência Pública,FISCALIZAÇÃO FINANCEIRA E CONTROLE,"REQ. 432/2017 - CFFC
Autor: Deputado Padre João

CONVIDADOS:

MARIO PALMA - Secretaria de Pesca do Ministério da Indústria, Comércio Exterior e Serviços (confirmado)

EDUARDO DE AZEVEDO PEDROSA CUNHA - Ministro do Ministério da Agricultura, Pecuária e Abastecimento (comfirmado)

IDELI SALVATTI - Ex-ministra de Relações Institucionais e de Direitos Humanos

VALTIM QUINTINO - Presidente da Federação dos Pescadores e Aquicultores de Minas Gerais (confirmado)

WALZENIR DE OLIVEIRA FALCÃO - Presidente da Confederação Nacional de Pescadores e Aquicultores - CNPA (confirmado)

VANESSA GAUDERETTO - representante da EMATER - MG (confirmada)

FRANCISCO  MEDEIROS - Associação Brasileira de Piscicultura - Peixe BR (confirmado)

JOCELI JAISON JOSÉ ANDRIOLI - membro da Coordenação Nacional do MAB - Movimento dos Atingidos por Barragens 

ALTEMIR GREGOLIN - Ex-Ministro da Pesca e Aquicultura (confirmado)",,2017-10-19T10:15:46-02:00,Comissão de Fiscalização Financeira e Controle,"Anexo II, Plenário 09",10,0,6,11,5,"[{'id': 184, 'video_id': 'AmPqUGqnMIM', 'title': None, 'is_attachment': False, 'order': 0}]",AmPqUGqnMIM
12,255,47838,0,PL718014,2,11,2017-06-13T11:59:03.082858-03:00,2022-12-18T01:28:59.513636-03:00,True,Reunião Deliberativa,PL 7180/14 - ESCOLA SEM PARTIDO,"Audiência Pública:
-Hiago Tadeu Alves Rabelo:  Estudante da Universidade de Brasília;
- Beatriz Kicis Torrents De Sordi. Advogada, Procuradora do Distrito Federal aposentada, Presidente do Instituto Resgata Brasil.
",,2017-06-13T15:00:00-03:00,"Comissão Especial destinada a proferir parecer ao Projeto de Lei nº 7180, de 2014, do Sr. Erivelton Santana, que ""altera o art. 3º da Lei nº 9.394, de 20 de dezembro de 1996"" (inclui entre os princípios do ensino o respeito às convicções do aluno, de seus pais ou responsáveis, dando precedência aos valores de ordem familiar sobre a educação escolar nos aspectos relacionados à educação moral, sexual e religiosa), e apensados","Anexo II, Plenário 12",12,0,11,12,5,"[{'id': 31, 'video_id': 'zTAaa3ayx78', 'title': None, 'is_attachment': False, 'order': 0}]",zTAaa3ayx78
13,1280,57676,0,CSSF,2,9,2019-09-27T12:36:01.949774-03:00,2022-12-18T01:04:33.186405-03:00,True,Audiência Pública,SEGURIDADE SOCIAL E FAMÍLIA,"(Requerimento 235/2019, do Deputado Dr. Zacharias Calil)

1) Representante do  Conselho Nacional de Educação - CNE

2) IGUATEMY MARIA DE LUCENA MARTINS (Confirmada)
     Vice-presidente do  Conselho Federal de Educação Física

3) JOÃO CARLOS CORREIA (Confirmado)
     Presidente da Associação Brasileira de Ensino de Arquitetura e Urbanismo 
     Representante do Conselho de Arquitetura e Urbanismo do Brasil - CAU/BR

4) JUAREZ CALIL ALEXANDRE (Confirmado)
     Coordenador da Unidade Técnica  do Conselho Federal de Nutricionista

5)  MARCOS HELENO GUERSON DE OLIVEIRA JÚNIOR
      Diretor de Política Regulatória da SERES - Ministério da Educação

6)   HÉLIO ANGOTTI NETO
      Diretor de Gestão e Educação na Saúde - Ministério da Saúde

7) PEDRO LUIZ DELGADO ASSAD (Confirmado)
    Representante do Conselho Regional de Engenharia e Agronomia do Distrito Federal - CREA

8) SALOMÃO RODRIGUES FILHO (Confirmado)
    Conselheiro Federal do Conselho Federal de Medicina - CFM
",PL 1.171/19 e PL 1.549/2019 - Educação a distância,2019-10-03T10:08:24-03:00,Comissão de Seguridade Social e Família,"Anexo II, Plenário 07",1,0,0,1,1,"[{'id': 928, 'video_id': '01OEaoUOgpI', 'title': None, 'is_attachment': False, 'order': 0}, {'id': 927, 'video_id': 'RojadgYwy7Q', 'title': None, 'is_attachment': False, 'order': 0}, {'id': 926, 'video_id': 'https://youtu.be/RojadgYwy7Q', 'title': None, 'is_attachment': False, 'order': 0}]",01OEaoUOgpI
14,445,49280,-1,EVENTOS,0,1,2017-09-21T15:28:03.236312-03:00,2018-06-04T14:33:02.102233-03:00,False,Outro Evento,Eventos,Parlamento Jovem Brasileiro,,2017-09-25T09:30:00-03:00,Eventos,"Anexo II, Plenário 03",0,0,0,0,0,[],
15,446,49281,-1,EVENTOS,0,1,2017-09-21T15:28:03.290354-03:00,2018-06-04T14:33:02.103275-03:00,False,Outro Evento,Eventos,Parlamento Jovem Brasileiro,,2017-09-25T13:30:00-03:00,Eventos,"Anexo II, Plenário 01",0,0,0,0,0,[],
16,2139,62558,0,CSSF,2,107,2021-08-05T13:46:03.255979-03:00,2022-12-18T23:39:33.382593-03:00,True,Audiência Pública,SEGURIDADE SOCIAL E FAMÍLIA,"1) ADALBERTO BARRETO (Confirmado)
   Criador da Terapia Comunitária Integrativa (TCI)
   Movimento Integrado de Saúde Mental Comunitário - MISMEC-CE

2) MILENE ZANONI (Confirmada)
   Vice-presidente
   Associação Brasileira de Terapia Comunitária - ABRATECOM

3) SILVIO ROBERTO TEIXEIRA BARREIRA (Confirmado)
     Instituto de Pesquisa em Terapia Comunitária Integrativa e Ações Complementares - IPTECOM

4) DORALICE OLIVEIRA GOMES (Confirmada)
   Terapeuta Comunitária, Psicóloga, Técnica Distrital de Terapia Comunitária Integrativa
   Secretaria de Saúde do Distrito Federal/Gerência de Práticas Integrativas em Saúde

5) GISELLE NUNES MENDES DE SOUSA (Confirmada)
   Assessora Técnica  da Coordenação-Geral de Saúde Mental, Álcool e outras drogas
   Secretaria de Atenção Primaria à Saúde do Ministério da Saúde

6) ANA PAULA  DE FARIAS FERNANDEZ (Confirmada)
   Terapeuta Comunitária
   Movimento de Saúde Mental Comunitária do Bom Jardim - MSMCBJ


Req. 257/21, de autoria do Dep. Odorico Monteiro, aprovado em 14/07, com subscrição dos Deps. Jorge Solla, Carmen Zanotto, Carla Dickson, Vivi Reis, Zacharias Calil e Benedita da Silva. ",Terapia Comunitária Integrativa no enfrentamento da Pandemia,2021-08-10T14:19:57-03:00,Comissão de Seguridade Social e Família,"Anexo II, Plenário 14",6,0,88,14,28,"[{'id': 2422, 'video_id': 'vDgN2x8LSH4', 'title': None, 'is_attachment': False, 'order': 0}, {'id': 2391, 'video_id': 'DX1gD-DQoKM', 'title': 'Saiba mais', 'is_attachment': True, 'order': 0}]",vDgN2x8LSH4
17,848,54860,0,CMADS,2,89,2019-04-04T13:40:01.731349-03:00,2022-12-18T01:14:01.034366-03:00,True,Audiência Pública,Audiência Pública Conjunta das Comissões CINDRA e CMADS,"- Requerimento nº 3/19 (Cmads)  -  do Deputado Camilo Capiberibe e nº 7/19 (Cindra) - do Deputado Edmilson Rodrigues

CONVIDADO:

RICARDO DE AQUINO SALLES, Ministro do Meio Ambiente (*)

(*) presença confirmada",ESCLARECIMENTOS DE NOVOS PROCEDIMENTOS E ACORDOS DO MINISTÉRIO DO MEIO AMBIENTE,2019-04-10T10:23:29-03:00,Comissão de Meio Ambiente e Desenvolvimento Sustentável,"Anexo II, Plenário 02",10,0,3,32,17,"[{'id': 575, 'video_id': 's6e78q4Uvbo', 'title': None, 'is_attachment': False, 'order': 0}]",s6e78q4Uvbo
18,457,49293,-1,EVENTOS,0,0,2017-09-21T15:37:02.296558-03:00,2018-06-04T14:33:02.130000-03:00,False,Outro Evento,Eventos,Parlamento Jovem Brasileiro,,2017-09-29T08:00:00-03:00,Eventos,"Anexo II, Plenário 03",0,0,0,0,0,[],
19,693,51611,0,CTASP,0,3,2018-05-16T13:57:01.368364-03:00,2022-12-11T20:46:57.301602-03:00,False,Seminário,"TRABALHO, ADMINISTRAÇÃO E SERVIÇO PÚBLICO","PROGRAMAÇÃO:

8h30 - Inscrição

9 horas - Mesa de Abertura

- Deputado Ronaldo Nogueira, Presidente da CTASP - Comissão de Trabalho, Administração e Serviço Público da Câmara dos Deputados;
Parlamentares Autores do Requerimento na CTASP: 
- Deputado Bohn Gass 
- Deputado Bebeto
- Deputado André Figueiredo 
- Deputado Orlando Silva 
- Representante do DIAP - Departamento Intersindical de Assessoria Parlamentar;
- Representante da OIT - Organização Internacional do Trabalho; (justificou ausência) e
- Representante do MTE - Ministério do Trabalho e Emprego. (justificou ausência)

10h30 - 1ª Mesa
Tema: A qualidade do emprego após a reforma trabalhista e os impactos econômicos
Coordenador: Deputado Bohn Gass 

- Prof. Márcio Pochmann - Representante do CESIT/UNICAMP (justificou ausência);
- Clóvis Scherer, economista do DIEESE - Departamento Intersindical de Estatística e Estudos Socioeconômicos (confirmado); e
- Marcos Chiliatto, Oficial de Assuntos Econômicos da CEPAL - Comissão Econômica das Nações Unidas para a América Latina e o Caribe (confirmado);

14 horas - 2ª mesa
Tema: Análise da aplicação da nova legislação trabalhista no sistema de justiça.
Coordenador: A definir 

- Ministro João Batista Brito Pereira, Presidente do TST - Tribunal Superior do Trabalho (confirmado);
- Cristiano Paixão, Procurador do Ministério Público do Trabalho da 10ª Região do MPT - Ministério Público do Trabalho (confirmado);
- Guilherme Guimarães Feliciano, Presidente da ANAMATRA  - Associação Nacional dos Magistrados da Justiça do Trabalho (confirmado);
- Ângelo Fabiano Farias da Costa, Presidente da ANPT - Associação Nacional dos Procuradores do Trabalho (confirmado);
- Rosa Maria Campos Jorge, Vice-presidente do SINAIT - Sindicato Nacional dos Auditores Fiscais do Trabalho (confirmado); e
- Nilton Correia, Diretor e  ex-presidente da  ABRAT -Associação Brasileira de Advogados Trabalhistas (confirmado).

16 horas - Intervalo para lanche.

16h20 - 3ª Mesa
Tema: Análise da aplicação da reforma trabalhista na realidade das negociações coletivas e nos contratos de trabalho.
Coordenador: A definir

- Representante da CUT - Central Única dos Trabalhadores;
- Representante da Força Sindical;
- Representante da CTB - Central dos Trabalhadores e Trabalhadoras do Brasil;
- José Reginaldo Inácio, representante da NCST - Nacional da Nova Central Sindical de Trabalhadores (confirmado);
- Representante da UGT - União Geral dos Trabalhadores;
- Ernesto Luiz Pereira Filho, Assessor Parlamentar da CSB - Central dos Sindicatos Brasileiros (confirmado);
- Representante INTERSINDICAL; e
- Representante do CONLUTAS.

18h30 - Encerramento.","IMPACTOS DA APLICAÇÃO DA NOVA LEGISLAÇÃO TRABALHISTA NO BRASIL

Origem: Req. 345/18 - de autoria do deputado Bohn Gass.",2018-05-29T09:00:00-03:00,"Comissão de Trabalho, de Administração e Serviço Público",Auditório Nereu Ramos,1,0,3,1,2,[],
